,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
600884,EDV5465,9E5465,a30d18,N296PQ,CRJ9,KJFK,KBNA,2020-03-25 22:38:33+00:00,2020-03-26 00:33:29+00:00,20200326,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Nashville International Airport,36.1245002746582,-86.6781997680664,599.0,,US,US-TN,Nashville,KBNA,BNA,BNA
600885,SWA438,WN438,aa1f65,,,KDEN,KSAT,2020-03-25 22:38:40+00:00,2020-03-26 00:18:18+00:00,20200326,Denver International Airport,39.861698150635,-104.672996521,5431.0,,US,US-CO,Denver,KDEN,DEN,DEN,San Antonio International Airport,29.533700942993164,-98.46980285644531,809.0,,US,US-TX,San Antonio,KSAT,SAT,SAT
600888,BAW32N,BA206,400691,G-CIVP,B744,KMIA,EGLL,2020-03-25 22:38:56+00:00,2020-03-26 06:24:29+00:00,20200326,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,EGLL,LHR,
600893,ASA1178,AS1178,a24dc1,N248AK,B739,KSEA,KSAN,2020-03-25 22:39:12+00:00,2020-03-26 01:00:40+00:00,20200326,Seattle Tacoma International Airport,47.449001,-122.308998,433.0,,US,US-WA,Seattle,KSEA,SEA,SEA,San Diego International Airport,32.7336006165,-117.190002441,17.0,,US,US-CA,San Diego,KSAN,SAN,SAN
600894,ABX902,,a36110,N317CM,B763,MROC,KMIA,2020-03-25 22:39:19+00:00,2020-03-26 00:55:29+00:00,20200326,Juan Santamaria International Airport,9.993860244750977,-84.20880126953125,3021.0,,CR,CR-A,San Jose,MROC,SJO,,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,KMIA,MIA,MIA
600896,ASH6355,,ac2bb8,N88327,E75L,KRDU,KIAH,2020-03-25 22:39:54+00:00,2020-03-26 01:12:27+00:00,20200326,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,435.0,,US,US-NC,Raleigh/Durham,KRDU,RDU,RDU,George Bush Intercontinental Houston Airport,29.98439979553223,-95.34140014648438,97.0,,US,US-TX,Houston,KIAH,IAH,IAH
600898,EJA216,,a1d13b,N216QS,CL65,KMKE,KSDL,2020-03-25 22:40:11+00:00,2020-03-26 02:45:27+00:00,20200326,General Mitchell International Airport,42.94720077514648,-87.89659881591797,723.0,,US,US-WI,Milwaukee,KMKE,MKE,MKE,Scottsdale Airport,33.622898101806996,-111.91100311279,1510.0,,US,US-AZ,Scottsdale,KSDL,SCF,SDL
600899,DAL1701,DL1701,a057c7,N121DU,,KSEA,KSJC,2020-03-25 22:40:14+00:00,2020-03-26 00:22:58+00:00,20200326,Seattle Tacoma International Airport,47.449001,-122.308998,433.0,,US,US-WA,Seattle,KSEA,SEA,SEA,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,62.0,,US,US-CA,San Jose,KSJC,SJC,SJC
600902,VOZ413,VA413,7c6d2a,VH-VUK,B738,YPAD,YSSY,2020-03-25 22:40:40+00:00,2020-03-26 00:17:15+00:00,20200326,Adelaide International Airport,-34.945,138.53100600000002,20.0,OC,AU,AU-SA,Adelaide,YPAD,ADL,,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,
600903,AFL2317,SU2317,4248f0,VQ-BAY,A320,EDDB,UUEE,2020-03-25 22:40:40+00:00,2020-03-26 01:02:27+00:00,20200326,Berlin-Sch枚nefeld Airport,52.380001,13.5225,157.0,EU,DE,DE-BR,Berlin,EDDB,SXF,,Sheremetyevo International Airport,55.972599,37.4146,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,
600904,DAL1189,,a48e3a,N393DA,B738,KBWI,KU42,2020-03-25 22:40:42+00:00,2020-03-26 03:38:14+00:00,20200326,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146.0,,US,US-MD,Baltimore,KBWI,BWI,BWI,South Valley Regional Airport,40.61949921,-111.99299620000001,4607.0,,US,US-UT,Salt Lake City,U42,,U42
600905,IBE6274,IB6274,344345,EC-LXK,A333,KORD,LEMD,2020-03-25 22:40:44+00:00,2020-03-26 06:05:11+00:00,20200326,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Adolfo Su谩rez Madrid鈥揃arajas Airport,40.471926,-3.56264,1998.0,EU,ES,ES-M,Madrid,LEMD,MAD,
600908,HKC331,RH331,780a43,B-LNW,A332,VHHH,VTBS,2020-03-25 22:41:06+00:00,2020-03-26 01:06:14+00:00,20200326,Hong Kong International Airport,22.308901000000002,113.915001,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,VTBS,BKK,
600909,SWA1052,WN1052,a59f53,N461WN,B737,KLAX,KMCI,2020-03-25 22:41:09+00:00,2020-03-26 01:08:22+00:00,20200326,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX,Kansas City International Airport,39.2976,-94.713898,1026.0,,US,US-MO,Kansas City,KMCI,MCI,MCI
600911,QFA485,QF485,7c6de0,VH-VZM,B738,YMML,YPPH,2020-03-25 22:41:20+00:00,2020-03-26 02:31:28+00:00,20200326,Melbourne International Airport,-37.673302,144.843002,434.0,OC,AU,AU-VIC,Melbourne,YMML,MEL,,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,
600915,ASA583,AS583,a84706,N632VA,A320,KSNA,KPDX,2020-03-25 22:41:37+00:00,2020-03-26 00:37:16+00:00,20200326,John Wayne Airport-Orange County Airport,33.67570114,-117.86799620000001,56.0,,US,US-CA,Santa Ana,KSNA,SNA,SNA,Portland International Airport,45.58869934,-122.59799960000001,31.0,,US,US-OR,Portland,KPDX,PDX,PDX
600916,ASA394,AS394,a6a114,N526VA,A319,KSEA,KLAX,2020-03-25 22:41:40+00:00,2020-03-26 01:01:29+00:00,20200326,Seattle Tacoma International Airport,47.449001,-122.308998,433.0,,US,US-WA,Seattle,KSEA,SEA,SEA,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,,US,US-CA,Los Angeles,KLAX,LAX,LAX
600917,SWA270,WN270,abb19c,N8523W,B738,KMDW,KHOU,2020-03-25 22:41:47+00:00,2020-03-26 00:56:29+00:00,20200326,Chicago Midway International Airport,41.785999,-87.752403,620.0,,US,US-IL,Chicago,KMDW,MDW,MDW,William P Hobby Airport,29.64539909,-95.27890015,46.0,,US,US-TX,Houston,KHOU,HOU,HOU
600919,JBU426,B6426,a6c781,N536JB,A320,KTPA,KJFK,2020-03-25 22:41:50+00:00,2020-03-26 00:59:51+00:00,20200326,Tampa International Airport,27.975500106811523,-82.533203125,26.0,,US,US-FL,Tampa,KTPA,TPA,TPA,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK
600921,SWA3084,WN3084,aa73a0,N7726A,B737,KDEN,KRDU,2020-03-25 22:42:03+00:00,2020-03-26 01:16:41+00:00,20200326,Denver International Airport,39.861698150635,-104.672996521,5431.0,,US,US-CO,Denver,KDEN,DEN,DEN,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,435.0,,US,US-NC,Raleigh/Durham,KRDU,RDU,RDU
600922,AAL472,AA472,ab4383,N825AW,A319,KMKE,KPHX,2020-03-25 22:42:05+00:00,2020-03-26 02:34:29+00:00,20200326,General Mitchell International Airport,42.94720077514648,-87.89659881591797,723.0,,US,US-WI,Milwaukee,KMKE,MKE,MKE,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,1135.0,,US,US-AZ,Phoenix,KPHX,PHX,PHX
600923,SKW5462,OO5462,a1c64e,N213SY,E75L,CYYC,KDEN,2020-03-25 22:42:23+00:00,2020-03-26 00:35:58+00:00,20200326,Calgary International Airport,51.113899231000005,-114.019996643,3557.0,,CA,CA-AB,Calgary,CYYC,YYC,,Denver International Airport,39.861698150635,-104.672996521,5431.0,,US,US-CO,Denver,KDEN,DEN,DEN
600924,DAL72,DL72,ab4c1d,N827NW,A333,KATL,EHAM,2020-03-25 22:42:26+00:00,2020-03-26 06:43:28+00:00,20200326,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,KATL,ATL,ATL,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,
600925,DLH431,LH431,3c4b2f,D-ABYO,B748,KORD,EDDF,2020-03-25 22:42:28+00:00,2020-03-26 06:14:38+00:00,20200326,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,
600926,NKS207,NK207,ac7b87,N903NK,A20N,KDFW,KLAS,2020-03-25 22:42:41+00:00,2020-03-26 01:17:29+00:00,20200326,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW,McCarran International Airport,36.08010101,-115.15200039999999,2181.0,,US,US-NV,Las Vegas,KLAS,LAS,LAS
600931,DAL2903,DL2903,a77ae0,N581NW,B753,KMSP,KPHX,2020-03-25 22:43:13+00:00,2020-03-26 02:11:06+00:00,20200326,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.221802,841.0,,US,US-MN,Minneapolis,KMSP,MSP,MSP,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,1135.0,,US,US-AZ,Phoenix,KPHX,PHX,PHX
600932,VOZ555,VA555,7c7aac,VH-YIM,B738,YSSY,YPPH,2020-03-25 22:43:19+00:00,2020-03-26 03:22:15+00:00,20200326,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,21.0,OC,AU,AU-NSW,Sydney,YSSY,SYD,,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,YPPH,PER,
